"","GeneID","Chromosome","CausalVariance"
"377","ENSG00000090020",1,"0"
"378","ENSG00000142784",1,"0"
"379","ENSG00000186501",1,"0.425755533663126"
"380","ENSG00000206888",1,"NA"
"381","ENSG00000142765",1,"0.0991158841883069"
"382","ENSG00000142733",1,"0.414740487188739"
"383","ENSG00000142748",1,"NA"
"384","ENSG00000181773",1,"0.416327162927717"
"385","ENSG00000158195",1,"0.0290748433443618"
"386","ENSG00000126705",1,"0.370273816010927"
"387","ENSG00000000938",1,"0"
"388","ENSG00000126709",1,"0.407860930377653"
"389","ENSG00000009780",1,"0.0612232936990525"
"390","ENSG00000117758",1,"0.019582878834109"
"391","ENSG00000117751",1,"0.0139399631180719"
"392","ENSG00000252947",1,"NA"
"393","ENSG00000130775",1,"0.335187417295611"
"394","ENSG00000117748",1,"0.506673479469489"
"395","ENSG00000130768",1,"0.83830743995605"
"396","ENSG00000158156",1,"0.376799845540119"
"397","ENSG00000158161",1,"0.374810993995326"
"398","ENSG00000169403",1,"0"
"399","ENSG00000126698",1,"0"
"400","ENSG00000130770",1,"0.0304084562661679"
"401","ENSG00000130766",1,"0"
"402","ENSG00000130772",1,"0.353540302088181"
"403","ENSG00000204138",1,"0.34195103584754"
"404","ENSG00000180198",1,"0.443771273825246"
"405","ENSG00000242125",1,"0"
"406","ENSG00000180098",1,"0.357056693598899"
"407","ENSG00000197989",1,"0.357705907591839"
"408","ENSG00000221539",1,"NA"
"409","ENSG00000120656",1,"0.356317062772521"
"410","ENSG00000188060",1,"0.361582283182336"
"411","ENSG00000270103",1,"NA"
"412","ENSG00000162419",1,"0"
"413","ENSG00000198492",1,"0.323311182895936"
"414","ENSG00000116329",1,"NA"
"415","ENSG00000159023",1,"0.315875131546989"
"416","ENSG00000253304",1,"0"
"417","ENSG00000116350",1,"0.118813696511205"
"418","ENSG00000116353",1,"0.282177581793666"
"419","ENSG00000060656",1,"0"
"420","ENSG00000162510",1,"0.480281675478876"
"421","ENSG00000186056",1,"0"
"422","ENSG00000162511",1,"0.20392350304639"
"423","ENSG00000264773",1,"NA"
"424","ENSG00000162512",1,"0"
"425","ENSG00000134644",1,"0"
"426","ENSG00000084628",1,"NA"
"427","ENSG00000060688",1,"0"
"428","ENSG00000121766",1,"0.239199755281433"
"429","ENSG00000121769",1,"0.248146812942749"
"430","ENSG00000168528",1,"0.253861441284414"
"431","ENSG00000223907",1,"0.282578145296619"
"432","ENSG00000142910",1,"0.541278154797125"
"433","ENSG00000121764",1,"NA"
"434","ENSG00000162517",1,"0.00329702490668778"
"435","ENSG00000084636",1,"0.783717102923268"
"436","ENSG00000266580",1,"NA"
"437","ENSG00000134668",1,"0.957146590328323"
"438","ENSG00000184007",1,"0"
"439","ENSG00000121774",1,"0"
"440","ENSG00000121775",1,"0"
"441","ENSG00000025800",1,"0"
"442","ENSG00000084652",1,"0.439685462895985"
"443","ENSG00000160050",1,"0"
"444","ENSG00000160051",1,"0.457137477230702"
"445","ENSG00000222046",1,"0.457476597471324"
"446","ENSG00000160055",1,"0"
"447","ENSG00000084623",1,"0.355948464174349"
"448","ENSG00000220785",1,"0.28150689378198"
"449","ENSG00000183615",1,"0.130179381379927"
"450","ENSG00000182866",1,"0.00809175754303967"
"451","ENSG00000116478",1,"0"
"452","ENSG00000175130",1,"0"
"453","ENSG00000162526",1,"0.484478024697193"
"454","ENSG00000225828",1,"0.0316634242605709"
"455","ENSG00000160058",1,"0"
"456","ENSG00000160062",1,"0.422823270764832"
"457","ENSG00000176261",1,"0.398173499508504"
"458","ENSG00000162521",1,"0.414672406451842"
"459","ENSG00000162520",1,"0.394661205044044"
"460","ENSG00000162522",1,"0.261824141072192"
"461","ENSG00000134684",1,"0.386042854714605"
"462","ENSG00000116497",1,"0.383028469776353"
"463","ENSG00000160097",1,"0.350733314183337"
"464","ENSG00000121905",1,"0.0171475547866938"
"465","ENSG00000121900",1,"0"
"466","ENSG00000116514",1,"0.189538788445497"
"467","ENSG00000004455",1,"0.278217726176388"
"468","ENSG00000116525",1,"0.246676277714831"
"469","ENSG00000160094",1,"0"
"470","ENSG00000184389",1,"NA"
"471","ENSG00000134686",1,"0.207434674349897"
"472","ENSG00000121903",1,"0"
"473","ENSG00000121904",1,"NA"
"474","ENSG00000176256",1,"NA"
"475","ENSG00000142698",1,"NA"
"476","ENSG00000163866",1,"0"
"477","ENSG00000189280",1,"NA"
"478","ENSG00000189433",1,"NA"
"479","ENSG00000188910",1,"NA"
